Feature;Chi2 Score;p-value
Scholarship holder;260.72493192373895;1.1926118611987409e-58
Debtor;229.6927935928773;6.955676408427705e-52
Curricular units 2nd sem (grade);214.39999151946873;1.5064632006949844e-48
Curricular units 2nd sem (approved);171.76831621856653;3.0406049133044394e-39
Gender;151.1488021215041;9.724451266175308e-35
Curricular units 1st sem (grade);126.20054980798915;2.779281801937137e-29
Tuition fees up to date;95.00601905034527;1.8980726467045476e-22
Curricular units 1st sem (approved);94.02804279200521;3.110851858138086e-22
Application mode;67.00686292843069;2.705635908039112e-16
Age at enrollment;46.373536001962734;9.772654328213334e-12
Displaced;26.03566267678078;3.3516858992813706e-07
Marital status;14.941083873043407;0.00011092099809663442
Curricular units 2nd sem (without evaluations);12.540433522933954;0.00039823989606284376
Previous qualification;9.547233944104757;0.0020025095747163786
Curricular units 1st sem (without evaluations);6.0272201495449735;0.014086901260209622
Application order;5.4738345747287855;0.019303227511633693
Curricular units 2nd sem (enrolled);4.2929255758264215;0.038271257337132464
Admission grade;4.141248348814402;0.04185029574662868
Curricular units 1st sem (enrolled);3.776363369425759;0.0519815222532079
Curricular units 2nd sem (credited);3.6880679711726208;0.05480306216710985
Curricular units 1st sem (credited);3.247320590925943;0.07154031598060769
Curricular units 2nd sem (evaluations);3.1650218958541734;0.07523142706159518
Mother's qualification;3.147141239974487;0.07606010885132196
Daytime/evening attendance	;2.9129417680653664;0.08787145990005328
Previous qualification (grade);2.115422759828493;0.14582178077269176
GDP;1.5269164195804836;0.21657582575082385
Inflation rate;0.7001756255340349;0.4027246878178947
Curricular units 1st sem (evaluations);0.6562636489058442;0.4178821229658516
Nacionality;0.43430874697311955;0.5098822501944982
Course;0.2571431119693989;0.6120897037985185
Educational special needs;0.18888963930743355;0.6638423721373913
International;0.13540915895694933;0.7128882702215897
Father's qualification;0.031407323439286775;0.8593347111588329
Father's occupation;0.023306939131063867;0.8786615929144896
Unemployment rate;0.013131363819414283;0.9087683918132211
Mother's occupation;0.000598466545082998;0.980482837246874
