Debtor;Tuition fees up to date;Gender;Scholarship holder;Age at enrollment;Curricular units 1st sem (approved);Curricular units 1st sem (grade);Curricular units 2nd sem (approved);Curricular units 2nd sem (grade);Target
0;1;1;0;20;0;0.0;0;0.0;0
0;0;1;0;19;6;14.0;6;13.666666666666666;1
0;0;1;0;19;0;0.0;0;0.0;0
0;1;0;0;20;6;13.428571428571429;5;12.4;1
0;1;0;0;45;5;12.333333333333334;6;13.0;1
1;1;1;0;50;5;11.857142857142858;5;11.5;1
0;1;0;1;18;7;13.3;8;14.345;1
0;0;1;0;22;0;0.0;0;0.0;0
0;1;0;1;21;6;13.875;6;14.142857142857142;1
1;0;0;0;18;5;11.4;2;13.5;0
0;1;0;0;18;6;12.333333333333334;5;14.2;1
0;1;0;1;18;7;13.214285714285714;7;13.214285714285714;1
0;1;0;0;19;0;0.0;0;0.0;0
0;1;0;1;21;6;10.571428571428571;5;11.0;1
0;1;0;1;18;4;13.25;5;12.0;1
0;1;0;0;20;5;13.2;0;0.0;0
0;1;0;0;18;7;13.30625;8;14.545;1
0;1;0;0;20;4;12.5;4;12.25;1
0;1;0;1;21;0;0.0;0;0.0;1
0;1;0;0;18;7;12.857142857142858;7;12.857142857142858;1
0;1;0;1;19;6;13.375;6;12.285714285714286;1
0;1;0;0;19;6;13.296666666666669;7;14.114285714285714;1
0;1;0;0;21;6;11.375;6;13.285714285714286;1
0;1;0;0;20;5;12.0;5;12.333333333333334;1
0;1;1;0;20;6;12.833333333333334;4;13.4;1
0;1;0;0;19;6;12.666666666666666;6;14.375;1
0;1;1;0;34;5;12.4;5;13.428571428571429;1
1;0;1;0;37;0;0.0;1;10.0;0
0;1;1;0;43;0;0.0;0;0.0;0
0;1;0;0;55;1;10.0;2;12.0;0
0;1;0;0;39;5;11.0;5;11.6;1
1;0;0;0;20;3;11.666666666666666;3;12.0;0
1;1;0;0;18;4;12.75;0;0.0;0
0;1;0;0;22;5;14.8;5;15.8;1
0;1;0;0;22;5;13.928;7;14.342857142857142;1
0;0;0;0;20;4;13.0;5;13.8;0
0;1;0;0;29;0;0.0;0;0.0;0
0;1;0;0;18;6;11.666666666666666;5;13.2;1
0;1;0;1;22;6;13.516666666666666;7;13.771428571428572;1
0;1;0;1;21;6;11.5;6;13.285714285714286;1
0;1;0;1;19;5;12.333333333333334;6;12.833333333333334;1
0;1;0;1;24;6;13.666666666666666;6;14.166666666666666;1
0;1;0;0;19;5;14.714285714285714;5;15.8;1
0;1;0;0;27;5;10.6;5;11.0;0
0;1;0;0;18;7;13.044444444444444;8;13.595;1
0;1;0;0;39;0;0.0;0;0.0;0
0;1;0;0;27;5;13.0;10;12.9;0
0;1;0;0;18;8;14.935;8;14.935;1
0;1;0;0;18;6;13.133333333333333;7;12.221428571428572;1
0;1;0;1;21;6;12.0;6;12.0;1
0;1;1;0;29;5;11.9;5;11.0;0
0;1;1;1;19;0;0.0;0;0.0;1
0;1;1;0;23;6;12.571428571428571;6;12.428571428571429;1
1;1;1;0;19;5;11.2;4;10.75;0
0;1;1;0;24;7;11.975;8;13.75;1
0;1;1;0;19;0;0.0;0;0.0;0
0;1;1;0;18;3;11.666666666666666;1;12.0;0
0;1;1;0;18;6;12.333333333333334;3;12.333333333333334;1
1;1;1;0;18;3;10.333333333333334;3;10.857142857142858;0
0;1;1;1;21;4;10.5;1;11.0;0
1;1;1;1;19;6;13.666666666666666;6;13.333333333333334;1
0;1;1;1;22;7;14.842857142857142;8;15.055555555555555;1
0;1;1;0;33;6;12.0;6;11.666666666666666;1
0;1;1;0;20;5;12.2;5;12.2;0
0;1;1;0;35;0;0.0;0;0.0;0
1;1;1;0;24;6;12.166666666666666;10;13.3;0
0;1;0;0;33;6;11.0;5;11.0;1
0;1;0;1;22;7;13.08;7;13.08;1
0;1;0;1;25;4;10.5;5;11.6;1
0;1;1;0;20;6;10.666666666666666;5;11.2;1
0;1;1;0;24;0;0.0;0;0.0;0
0;0;0;0;21;6;14.0;6;13.5;1
0;1;0;0;26;2;12.0;0;0.0;0
0;1;0;0;39;3;12.666666666666666;0;0.0;0
0;1;0;0;44;8;11.875;6;12.333333333333334;1
0;1;0;0;18;6;13.666666666666666;6;13.333333333333334;1
0;1;0;1;18;7;13.75;8;14.47777777777778;1
1;0;0;0;19;4;11.96;0;0.0;0
0;1;0;0;21;8;12.875;5;13.4;0
0;1;0;0;20;0;0.0;0;0.0;1
0;1;0;0;36;0;0.0;0;0.0;0
0;1;0;0;43;18;14.63157894736842;13;14.23076923076923;1
0;1;0;0;19;0;0.0;0;0.0;0
1;1;0;0;20;10;13.0;11;12.272727272727272;1
0;1;0;0;19;0;0.0;0;0.0;0
0;1;0;0;20;4;14.2;4;13.25;0
0;1;0;0;20;6;13.266666666666666;5;12.3;0
0;1;0;0;18;6;13.857142857142858;6;15.0;1
0;1;0;0;19;5;13.4;5;12.8;1
0;1;0;0;18;6;12.666666666666666;6;12.571428571428571;1
0;1;0;0;18;6;12.516666666666666;6;12.516666666666666;0
0;1;0;0;18;5;13.142857142857142;5;11.4;1
0;1;0;0;18;5;12.6;5;14.0;1
0;1;0;0;21;3;11.0;2;11.0;0
0;1;0;0;19;5;10.8;4;11.25;1
0;1;0;0;19;0;0.0;0;0.0;0
0;1;0;1;19;5;12.8;5;14.2;1
0;1;0;0;19;6;14.166666666666666;6;12.2;1
0;1;0;0;19;5;12.1;0;0.0;0
0;1;0;0;20;6;14.166666666666666;5;13.77777777777778;1
0;1;0;0;18;6;13.0;6;13.666666666666666;1
0;1;0;0;19;7;13.467142857142855;8;15.011111111111113;1
0;1;0;1;18;7;13.2375;7;13.742857142857144;0
0;1;0;0;18;6;12.333333333333334;6;13.0;1
0;1;0;0;19;5;12.4;5;14.6;1
0;1;0;0;19;5;14.0;0;0.0;0
0;1;0;0;20;9;11.666666666666666;7;11.714285714285714;1
1;0;0;1;19;5;12.0;4;12.5;0
0;1;0;0;20;4;12.2;4;11.5;1
1;1;0;1;18;6;14.833333333333334;6;14.833333333333334;1
0;1;0;0;18;7;17.125;8;17.5875;1
0;1;0;0;19;6;12.666666666666666;6;12.666666666666666;1
0;1;0;1;19;6;12.666666666666666;5;12.0;1
0;1;0;1;19;6;11.333333333333334;6;11.5;1
0;1;0;1;19;7;13.605;8;12.33125;1
0;1;0;1;19;5;12.0;5;10.8;1
0;1;0;0;19;0;0.0;0;0.0;0
0;1;0;0;20;5;11.2;3;11.666666666666666;0
0;1;0;0;18;5;13.375;5;14.166666666666666;1
0;1;0;1;20;6;13.863333333333337;7;14.178571428571429;1
0;1;0;0;19;5;12.4;5;13.4;1
0;1;0;0;18;6;13.333333333333334;5;11.8;1
0;1;0;0;21;3;12.666666666666666;3;10.0;0
0;1;0;0;19;6;12.0;4;11.5;0
0;1;0;1;18;5;10.6;5;11.8;1
0;1;0;1;18;6;12.25;6;11.857142857142858;1
0;1;0;0;20;4;11.0;6;11.833333333333334;1
0;1;0;1;24;5;11.0;5;12.6;1
0;1;0;0;19;6;13.166666666666666;6;13.0;0
0;1;0;1;18;7;12.855555555555554;7;12.761111111111113;1
0;1;0;0;18;7;14.91875;8;15.355;1
0;1;0;0;21;4;11.5;3;11.0;0
0;1;0;0;19;5;14.2;5;14.2;1
0;1;0;1;19;6;12.5;6;13.0;1
0;1;0;0;19;5;11.666666666666666;4;11.0;1
0;1;0;0;29;7;14.257142857142856;7;14.257142857142856;1
0;1;0;0;21;3;12.0;2;11.333333333333334;0
0;1;0;0;20;7;12.457142857142856;8;13.5625;1
0;1;0;0;19;6;11.683333333333332;6;11.683333333333332;1
0;1;0;0;26;3;11.666666666666666;5;12.0;1
1;0;0;0;20;4;11.75;6;13.166666666666666;0
0;1;0;0;27;5;13.2;5;12.0;1
0;1;0;0;20;4;11.95;4;11.95;0
0;1;0;0;18;5;12.4;5;10.4;0
0;1;0;0;33;6;14.35;6;14.583333333333334;0
0;1;0;0;35;21;12.61904761904762;19;12.789473684210526;1
1;0;0;0;27;5;12.0;0;0.0;0
0;0;0;0;19;6;12.166666666666666;0;0.0;0
0;1;0;0;20;0;0.0;0;0.0;0
1;0;0;0;20;3;10.0;3;10.571428571428571;0
0;1;0;1;18;6;13.05;6;13.05;1
0;1;0;0;24;2;11.0;0;0.0;0
0;1;0;0;20;6;11.5;6;12.0;1
0;1;0;1;21;6;12.0;6;12.5;1
0;1;0;0;24;0;0.0;0;0.0;0
0;1;0;0;21;0;0.0;0;0.0;0
0;1;0;0;18;7;12.242857142857144;7;12.242857142857144;1
0;1;0;0;27;0;0.0;0;0.0;0
0;1;0;0;18;8;12.93375;8;12.93375;1
0;1;0;0;35;0;0.0;0;0.0;0
0;1;0;0;18;7;12.571428571428571;7;14.428571428571429;1
0;1;0;0;19;4;13.75;4;14.333333333333334;1
0;1;0;0;20;6;11.166666666666666;6;11.333333333333334;1
0;1;0;0;18;7;12.324285714285711;7;12.324285714285711;1
1;1;0;0;21;6;12.166666666666666;6;11.714285714285714;1
0;1;0;1;18;5;11.142857142857142;4;11.25;1
0;1;0;0;18;4;11.0;4;10.75;1
0;1;0;0;18;7;12.914285714285713;7;12.914285714285713;1
0;1;0;1;18;6;13.833333333333334;6;14.166666666666666;1
0;1;0;0;19;6;13.857142857142858;5;13.4;1
0;1;0;1;36;6;13.714285714285714;5;12.8;0
0;1;0;1;18;7;12.642857142857142;7;12.642857142857142;1
0;1;0;1;18;6;12.916666666666666;6;12.916666666666666;1
0;1;0;1;20;6;15.625;6;15.857142857142858;1
0;1;0;1;26;0;0.0;0;0.0;0
0;1;0;0;21;6;11.714285714285714;6;12.0;1
0;1;0;1;19;5;11.6;5;11.6;1
0;1;0;0;24;1;10.0;0;0.0;0
0;1;0;1;27;1;10.0;0;0.0;0
0;1;0;0;21;0;0.0;2;13.5;0
0;1;0;1;18;4;13.0;3;12.333333333333334;1
0;1;0;1;19;6;13.333333333333334;6;14.5;1
0;1;0;0;18;4;11.25;2;12.5;0
0;1;0;1;19;5;13.85;7;12.19285714285714;1
0;1;0;1;19;6;13.741666666666667;7;14.9125;1
0;1;0;0;33;6;15.333333333333334;5;15.8;1
0;1;0;0;45;5;11.0;5;13.8;1
0;1;0;1;20;6;12.0;6;12.857142857142858;1
0;1;0;0;28;0;0.0;0;0.0;0
0;1;0;1;19;7;11.571428571428571;7;11.571428571428571;1
0;1;0;0;18;6;12.857142857142858;3;12.666666666666666;1
0;1;0;0;38;0;0.0;0;0.0;0
0;1;0;0;19;5;13.0;5;13.2;1
0;1;0;1;21;5;11.0;5;12.0;1
0;1;0;0;21;3;12.0;1;15.0;0
0;1;0;1;22;5;12.6;6;13.0;1
0;1;0;1;18;5;13.4;6;13.166666666666666;1
0;1;0;1;18;6;11.333333333333334;6;11.571428571428571;1
0;0;0;0;25;4;13.5;4;14.25;0
1;0;0;0;24;3;11.75;3;10.333333333333334;0
0;1;0;1;20;5;11.6;5;13.6;1
0;0;0;0;25;0;0.0;0;0.0;0
0;1;0;1;20;9;12.9;10;12.363636363636363;1
0;1;0;0;23;8;13.22;8;13.22;1
0;1;0;1;19;7;13.151428571428571;7;13.151428571428571;1
1;0;0;0;29;3;12.75;3;11.333333333333334;0
0;1;0;0;21;6;11.333333333333334;4;12.25;1
0;1;0;1;18;6;13.25;5;14.142857142857142;1
0;1;0;1;18;6;15.0;6;12.833333333333334;0
0;1;0;0;19;5;14.4;5;13.0;1
0;1;0;0;18;5;12.4;5;10.8;1
1;0;0;1;37;1;16.0;0;0.0;0
0;1;0;0;29;5;13.571428571428571;5;12.333333333333334;1
0;1;0;1;19;5;11.666666666666666;5;12.666666666666666;1
1;0;0;0;22;6;11.833333333333334;2;13.0;0
0;1;0;1;20;6;11.166666666666666;5;10.6;1
0;1;0;0;34;0;0.0;0;0.0;0
1;0;0;0;30;8;11.75;6;12.166666666666666;0
0;1;0;0;18;6;14.0;6;14.0;1
0;1;0;0;18;6;12.833333333333334;6;12.0;1
0;1;0;0;18;4;12.25;3;11.666666666666666;1
0;1;0;0;18;7;14.828571428571427;7;14.828571428571427;1
0;1;0;1;19;5;11.4;5;12.8;1
0;1;0;1;19;6;13.0;6;12.5;1
0;1;0;1;18;7;13.671428571428573;7;13.671428571428573;1
0;1;0;1;21;6;12.666666666666666;5;12.8;1
0;0;0;0;20;2;10.0;1;13.0;0
0;1;0;0;20;5;13.5;5;12.333333333333334;1
0;1;0;0;19;7;12.67;8;13.55;1
0;1;0;0;20;6;14.5;6;15.428571428571429;1
0;1;0;0;18;7;13.685714285714283;8;15.3875;1
0;1;0;0;20;5;11.0;3;10.666666666666666;0
1;0;0;0;29;7;11.555555555555555;5;13.2;0
0;1;0;1;20;7;14.00375;7;13.812857142857142;1
0;1;0;1;22;4;12.0;4;11.4;1
0;1;0;1;47;5;14.166666666666666;6;14.166666666666666;1
0;1;0;0;31;5;14.0;5;13.8;1
0;1;0;1;21;5;13.8;6;12.833333333333334;1
0;1;0;0;21;5;12.8;6;11.857142857142858;1
0;1;0;0;24;6;12.166666666666666;6;13.833333333333334;1
0;1;0;0;32;4;12.0;4;11.5;1
0;1;0;1;19;6;10.833333333333334;6;11.5;1
0;1;0;0;24;8;13.385;8;13.385;1
0;1;0;0;19;6;15.666666666666666;6;14.5;1
1;1;0;1;19;6;14.333333333333334;6;13.833333333333334;1
0;1;0;1;18;6;11.666666666666666;6;11.666666666666666;1
0;1;0;1;19;5;12.0;2;11.333333333333334;0
0;1;0;1;19;7;14.725714285714288;7;14.725714285714288;1
0;1;0;1;18;6;14.166666666666666;6;13.666666666666666;1
0;1;0;0;18;6;11.571428571428571;6;12.333333333333334;1
0;1;0;0;20;7;12.5;8;13.1375;1
0;1;0;0;18;8;12.86;8;12.86;1
0;1;0;0;18;6;12.25;6;13.714285714285714;1
0;1;0;1;21;4;12.0;5;12.2;1
0;1;0;1;18;7;15.116666666666667;8;16.168888888888887;1
1;0;0;0;18;2;12.5;4;10.25;0
0;1;0;0;19;0;0.0;0;0.0;0
0;1;0;0;18;6;11.875;4;14.6;1
0;1;0;0;34;1;11.0;0;0.0;0
0;1;0;0;19;5;15.2;5;13.2;1
1;0;0;0;19;5;11.6;2;11.0;0
1;1;0;0;26;6;14.833333333333334;6;15.142857142857142;1
0;1;0;0;21;3;11.333333333333334;3;11.333333333333334;0
