Curricular units 2nd sem (approved);Curricular units 2nd sem (grade);Curricular units 1st sem (approved);Curricular units 1st sem (grade);Tuition fees up to date;Scholarship holder;Target
0;0.0;0;0.0;1;0;0
6;13.666666666666666;6;14.0;0;0;1
0;0.0;0;0.0;0;0;0
5;12.4;6;13.428571428571429;1;0;1
6;13.0;5;12.333333333333334;1;0;1
5;11.5;5;11.857142857142858;1;0;1
8;14.345;7;13.3;1;1;1
0;0.0;0;0.0;0;0;0
6;14.142857142857142;6;13.875;1;1;1
2;13.5;5;11.4;0;0;0
5;14.2;6;12.333333333333334;1;0;1
7;13.214285714285714;7;13.214285714285714;1;1;1
0;0.0;0;0.0;1;0;0
5;11.0;6;10.571428571428571;1;1;1
5;12.0;4;13.25;1;1;1
0;0.0;5;13.2;1;0;0
8;14.545;7;13.30625;1;0;1
4;12.25;4;12.5;1;0;1
0;0.0;0;0.0;1;1;1
7;12.857142857142858;7;12.857142857142858;1;0;1
6;12.285714285714286;6;13.375;1;1;1
7;14.114285714285714;6;13.296666666666669;1;0;1
6;13.285714285714286;6;11.375;1;0;1
5;12.333333333333334;5;12.0;1;0;1
4;13.4;6;12.833333333333334;1;0;1
6;14.375;6;12.666666666666666;1;0;1
5;13.428571428571429;5;12.4;1;0;1
1;10.0;0;0.0;0;0;0
0;0.0;0;0.0;1;0;0
2;12.0;1;10.0;1;0;0
5;11.6;5;11.0;1;0;1
3;12.0;3;11.666666666666666;0;0;0
0;0.0;4;12.75;1;0;0
5;15.8;5;14.8;1;0;1
7;14.342857142857142;5;13.928;1;0;1
5;13.8;4;13.0;0;0;0
0;0.0;0;0.0;1;0;0
5;13.2;6;11.666666666666666;1;0;1
7;13.771428571428572;6;13.516666666666666;1;1;1
6;13.285714285714286;6;11.5;1;1;1
6;12.833333333333334;5;12.333333333333334;1;1;1
6;14.166666666666666;6;13.666666666666666;1;1;1
5;15.8;5;14.714285714285714;1;0;1
5;11.0;5;10.6;1;0;0
8;13.595;7;13.044444444444444;1;0;1
0;0.0;0;0.0;1;0;0
10;12.9;5;13.0;1;0;0
8;14.935;8;14.935;1;0;1
7;12.221428571428572;6;13.133333333333333;1;0;1
6;12.0;6;12.0;1;1;1
5;11.0;5;11.9;1;0;0
0;0.0;0;0.0;1;1;1
6;12.428571428571429;6;12.571428571428571;1;0;1
4;10.75;5;11.2;1;0;0
8;13.75;7;11.975;1;0;1
0;0.0;0;0.0;1;0;0
1;12.0;3;11.666666666666666;1;0;0
3;12.333333333333334;6;12.333333333333334;1;0;1
3;10.857142857142858;3;10.333333333333334;1;0;0
1;11.0;4;10.5;1;1;0
6;13.333333333333334;6;13.666666666666666;1;1;1
8;15.055555555555555;7;14.842857142857142;1;1;1
6;11.666666666666666;6;12.0;1;0;1
5;12.2;5;12.2;1;0;0
